SolomonPesant/rc201.0 |   sequence |       open |     721.40 |       0.03 | 11 2 1 23 15 19 6 8 5 9 18 20 24 12 3 21 13 4 22 17 14 10 7 16 25 | seed: 5092977660426643137 | 20
SolomonPesant/rc201.0 |   sequence |       open |     710.71 |       0.01 | 11 2 1 15 23 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 2726819200123974402 | 71
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 8453547698756006468 | 54
SolomonPesant/rc201.0 |   sequence |       open |     675.53 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: 3450442555806432503 | 43
SolomonPesant/rc201.0 |   sequence |       open |     710.15 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -6756549284231645624 | 73
SolomonPesant/rc201.0 |   sequence |       open |     700.24 |       0.01 | 11 2 1 23 15 19 5 6 8 9 18 21 3 24 20 12 13 22 4 10 7 17 14 16 25 | seed: 5461699888009556200 | 23
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 9137320963316956088 | 48
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 5349317883682417624 | 76
SolomonPesant/rc201.0 |   sequence |       open |     726.11 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 24 20 21 3 12 13 4 22 17 14 10 7 16 25 | seed: -4566668148155780233 | 59
SolomonPesant/rc201.0 |   sequence |       open |     706.14 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: -234179921402097433 | 26
SolomonPesant/rc201.0 |   sequence |       open |     696.07 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 24 13 20 21 3 12 4 22 17 14 10 7 16 25 | seed: -8251044200659235859 | 6
SolomonPesant/rc201.0 |   sequence |       open |     678.34 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 7 10 16 25 | seed: -1688793320714809326 | 19
SolomonPesant/rc201.0 |   sequence |       open |     712.65 |       0.03 | 11 2 1 15 23 19 5 6 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 8680366565338442813 | 77
SolomonPesant/rc201.0 |   sequence |       open |     730.32 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 24 20 21 3 12 13 4 22 17 14 10 7 16 25 | seed: 5188704844263310824 | 29
SolomonPesant/rc201.0 |   sequence |       open |     740.46 |       0.03 | 11 2 1 15 23 19 6 9 8 5 18 21 3 24 20 12 13 22 4 17 14 7 10 16 25 | seed: 2569581040140337229 | 62
SolomonPesant/rc201.0 |   sequence |       open |     726.67 |       0.00 | 11 2 1 23 15 19 5 6 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -7464714867232142033 | 89
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 7440217831892841667 | 99
SolomonPesant/rc201.0 |   sequence |       open |     683.56 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 7 17 14 10 16 25 | seed: -4585659555173913532 | 96
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 8937349181984639370 | 82
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -5524819442889533411 | 93
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 7615672206035010705 | 88
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -8570166744207729896 | 81
SolomonPesant/rc201.0 |   sequence |       open |     684.52 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 3 12 4 22 17 14 10 7 16 25 | seed: 3818187696776575327 | 80
SolomonPesant/rc201.0 |   sequence |       open |     728.94 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -4640254928309344438 | 94
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -1328608997813765516 | 91
SolomonPesant/rc201.0 |   sequence |       open |     690.99 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 13 20 12 4 22 17 14 10 7 25 16 | seed: -8812349342172121846 | 85
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4844406424426719935 | 87
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4648816874733321345 | 98
SolomonPesant/rc201.0 |   sequence |       open |     694.69 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 13 20 12 4 22 17 14 10 7 16 25 | seed: -7515840506092261089 | 95
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -6370852154675687643 | 79
SolomonPesant/rc201.0 |   sequence |       open |     690.20 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 25 16 | seed: 1989289895209000310 | 92
SolomonPesant/rc201.0 |   sequence |       open |     692.88 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -5564959212511603274 | 84
