SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     500.70 |       0.00 | 14 18 13 9 8 6 4 5 7 16 17 11 1 3 19 10 12 2 15 | seed: -5481008694709239452 | 72
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     522.54 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 15 2 | seed: -1171108196482641495 | 67
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.60 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 10 3 2 15 | seed: 6278241963708252829 | 42
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     470.41 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 19 12 1 10 3 2 15 | seed: -3946755609914103631 | 61
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 2309137455770741432 | 38
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -1506801988763782001 | 12
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 1951729976349146469 | 59
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     479.86 |       0.00 | 14 18 13 9 5 4 8 6 7 17 16 19 11 1 12 3 10 2 15 | seed: -6704376158025349739 | 68
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.67 |       0.00 | 14 18 13 9 8 5 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -5006044262431124160 | 69
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -1830999268028461575 | 63
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     522.54 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 15 2 | seed: 1813624198063713910 | 31
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 3002422082587328601 | 30
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -3052840048007117469 | 73
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     502.61 |       0.00 | 14 18 13 9 6 4 5 7 8 16 17 11 1 3 19 10 12 2 15 | seed: 4106385948704370069 | 18
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 7507113108499345456 | 89
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: 8119155674652426535 | 83
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     502.25 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 2 15 | seed: -8255195165909446577 | 94
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     462.71 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 19 11 12 3 1 10 2 15 | seed: 7715898969003481476 | 78
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     472.47 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 1 3 11 10 12 2 15 | seed: 2805033141008797303 | 81
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -3799828302940952160 | 91
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     490.97 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 19 10 3 12 2 15 | seed: -2527205822236552164 | 79
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -6906530610317239547 | 96
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     490.91 |       0.00 | 14 18 13 9 5 4 8 6 7 16 11 17 1 12 19 3 10 2 15 | seed: -5642834333141084309 | 85
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 8251262879452506773 | 97
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     457.96 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 3 10 12 2 15 | seed: 7319048253398544549 | 82
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     491.88 |       0.00 | 14 18 13 9 5 8 6 4 7 16 17 11 1 19 12 3 10 2 15 | seed: -7362742090199094569 | 99
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.14 |       0.00 | 14 18 13 9 4 8 6 5 7 16 19 17 11 1 12 3 10 2 15 | seed: -2041231088963092913 | 80
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -35609299650029392 | 88
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     502.25 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 2 15 | seed: 1281788119595372498 | 98
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     457.22 |       0.00 | 14 18 13 9 5 8 6 4 7 16 19 17 11 1 12 3 10 2 15 | seed: 6086377190328761672 | 90
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 5821813493813509151 | 95
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.60 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 10 3 2 15 | seed: 5541299730121939982 | 93
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 6992546330806477200 | 84
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -7207272748173460059 | 86
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -542654112400054011 | 92
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 3051849794654322940 | 87
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     743.76 |       0.00 | 13 21 23 9 10 12 6 5 8 16 19 25 17 1 18 24 2 7 11 14 3 4 20 22 15 | seed: 982870363787552990 | 20
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     746.31 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 15 22 | seed: 1694189260631134089 | 22
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: 8638967487736431172 | 42
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     752.42 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 17 18 1 24 2 11 7 14 3 4 20 22 15 | seed: -5041724361573120035 | 53
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: 4099742728231385151 | 24
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     756.20 |       0.00 | 21 13 23 9 10 12 8 6 5 16 19 25 17 18 1 2 24 7 11 4 3 14 20 22 15 | seed: -7414718509368454247 | 26
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     727.07 |       0.00 | 21 13 9 23 10 12 5 6 8 16 19 25 17 18 1 24 2 7 11 4 3 14 20 22 15 | seed: -8405152113521348364 | 3
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     744.80 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 1 17 18 24 2 7 11 3 4 14 20 22 15 | seed: -3859258952314270173 | 18
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     755.95 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 17 1 18 2 24 11 7 4 3 14 20 22 15 | seed: -1204607692415830866 | 35
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     749.70 |       0.00 | 21 23 13 9 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 15 22 | seed: 5939997652764026353 | 27
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     764.57 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 4 3 14 20 15 22 | seed: -8723616375030175256 | 48
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     771.96 |       0.00 | 21 23 13 9 10 12 5 6 8 16 19 25 17 1 18 2 24 11 7 3 4 14 20 22 15 | seed: -8143323891114838013 | 25
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     731.97 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 4 3 14 20 22 15 | seed: 2297929962459485883 | 23
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     733.60 |       0.00 | 13 21 23 9 10 12 5 6 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 22 15 | seed: 7723712463417717734 | 31
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     750.03 |       0.00 | 21 13 23 10 9 12 5 6 8 16 19 25 18 17 1 24 2 7 11 14 3 4 20 22 15 | seed: 671412849876683286 | 21
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     777.14 |       0.00 | 21 13 23 9 10 12 5 6 8 16 19 25 17 1 18 2 24 7 11 14 3 4 20 15 22 | seed: 1155926220853192411 | 1
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     772.42 |       0.00 | 21 13 23 9 10 12 5 6 8 19 16 25 17 18 1 24 2 7 11 3 4 14 20 22 15 | seed: 4141850070320321142 | 19
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     749.63 |       0.00 | 21 13 23 9 10 12 6 5 8 16 19 25 17 1 18 24 2 7 11 3 4 14 20 22 15 | seed: -1635249594817260906 | 30
